Year,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
2019,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Asia
2019,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Europe
2019,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,South America
2019,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Europe
2019,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,North America
2019,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Europe
2019,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,South America
2019,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Europe
2019,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Europe
2019,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,South America
2019,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Asia
2019,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Asia
2019,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Europe
2019,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Asia
2019,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe
2019,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,North America
2019,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Africa
2019,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Asia
2019,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,North America
2019,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Europe
2019,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,South America
2019,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Europe
2019,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,South America
2019,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Asia
2019,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,South America
2019,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Europe
2019,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Asia
2019,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Asia
2019,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Asia
2019,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Europe
2019,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,Europe
2019,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Africa
2019,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Europe
2019,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Asia
2019,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Europe
2019,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Asia
2019,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,North America
2019,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Europe
2019,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Europe
2019,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Asia
2019,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Europe
2019,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,Europe
2019,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Asia
2019,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Europe
2019,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Africa
2019,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Asia
2019,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Asia
2019,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Africa
2019,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Africa
2019,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Europe
2019,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Asia
2019,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Asia
2019,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Asia
2019,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Asia
2019,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Asia
2019,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Africa
2019,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Europe
2019,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Africa
2019,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Africa
2019,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Asia
2019,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Asia
2019,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Africa
2019,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,South America
2019,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Africa
2019,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Asia
2019,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Africa
2019,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Europe
2019,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Europe
2019,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Asia
2019,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Asia
2019,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Africa
2019,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,Africa
2019,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Africa
2019,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Africa
2019,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Africa
2019,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Asia
2019,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Asia
2019,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Africa
2019,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Europe
2019,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Africa
2019,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Africa
2019,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Africa
2019,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Africa
2019,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,Africa
2019,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Asia
2019,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Asia
2019,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Africa
2019,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Africa
2019,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Africa
2019,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Asia
2019,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Asia
2019,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Africa
2019,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Europe
2019,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Africa
2019,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,Africa
2019,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Africa
2019,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Africa
2019,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Africa
2019,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Africa
2019,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Asia
2019,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Africa
2019,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Africa
2019,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Africa
2019,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Africa
2019,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Africa
2019,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Asia
2019,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,North America
2019,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Africa
2019,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Asia
2019,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Africa
2019,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Asia
2019,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Africa
2019,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Africa
2019,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,Asia
2019,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,Africa
2019,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Africa
2018,Finland,7.632,,,,,,,Europe
2018,Denmark,7.555,,,,,,,Europe
2018,Norway,7.594,,,,,,,Europe
2018,Iceland,7.495,,,,,,,Europe
2018,Netherlands,7.441,,,,,,,Europe
2018,Switzerland,7.487,,,,,,,Europe
2018,Sweden,7.314,,,,,,,Europe
2018,New Zealand,7.324,,,,,,,Oceania
2018,Canada,7.328,,,,,,,North America
2018,Austria,7.139,,,,,,,Europe
2018,Australia,7.272,,,,,,,Oceania
2018,Costa Rica,7.072,,,,,,,North America
2018,Israel,6.814,,,,,,,Asia
2018,Luxembourg,6.91,,,,,,,Europe
2018,United Kingdom,7.19,,,,,,,Europe
2018,Ireland,6.977,,,,,,,Europe
2018,Germany,6.965,,,,,,,Europe
2018,Belgium,6.927,,,,,,,Europe
2018,United States,6.886,,,,,,,North America
2018,Czech Republic,6.711,,,,,,,Europe
2018,United Arab Emirates,6.774,,,,,,,Asia
2018,Malta,6.627,,,,,,,Europe
2018,Mexico,6.488,,,,,,,North America
2018,France,6.489,,,,,,,Europe
2018,Taiwan,6.441,,,,,,,Asia
2018,Chile,6.476,,,,,,,South America
2018,Guatemala,6.382,,,,,,,North America
2018,Saudi Arabia,6.371,,,,,,,Asia
2018,Qatar,6.374,,,,,,,Asia
2018,Spain,6.31,,,,,,,Europe
2018,Panama,6.43,,,,,,,North America
2018,Brazil,6.419,,,,,,,South America
2018,Uruguay,6.379,,,,,,,South America
2018,Singapore,6.343,,,,,,,Asia
2018,El Salvador,6.167,,,,,,,North America
2018,Italy,6,,,,,,,Europe
2018,Bahrain,6.105,,,,,,,Asia
2018,Slovakia,6.173,,,,,,,Europe
2018,Trinidad & Tobago,6.192,,,,,,,South America
2018,Poland,6.123,,,,,,,Europe
2018,Uzbekistan,6.096,,,,,,,Asia
2018,Lithuania,5.952,,,,,,,Europe
2018,Colombia,6.26,,,,,,,South America
2018,Slovenia,5.948,,,,,,,Europe
2018,Nicaragua,6.141,,,,,,,North America
2018,Kosovo,5.662,,,,,,,Europe
2018,Argentina,6.388,,,,,,,South America
2018,Romania,5.945,,,,,,,Europe
2018,Cyprus,5.762,,,,,,,Europe
2018,Ecuador,5.973,,,,,,,South America
2018,Kuwait,6.083,,,,,,,Asia
2018,Thailand,6.072,,,,,,,Asia
2018,Latvia,5.933,,,,,,,Europe
2018,South Korea,5.875,,,,,,,Asia
2018,Estonia,5.739,,,,,,,Europe
2018,Jamaica,5.89,,,,,,,North America
2018,Mauritius,5.891,,,,,,,Africa
2018,Japan,5.915,,,,,,,Asia
2018,Honduras,5.504,,,,,,,North America
2018,Kazakhstan,5.79,,,,,,,Europe
2018,Bolivia,5.752,,,,,,,South America
2018,Hungary,5.62,,,,,,,Europe
2018,Paraguay,5.681,,,,,,,South America
2018,Northern Cyprus,5.835,,,,,,,Asia
2018,Peru,5.663,,,,,,,South America
2018,Portugal,5.41,,,,,,,Europe
2018,Pakistan,5.472,,,,,,,Asia
2018,Russia,5.81,,,,,,,Asia
2018,Philippines,5.524,,,,,,,Asia
2018,Serbia,5.398,,,,,,,Europe
2018,Moldova,5.64,,,,,,,Europe
2018,Libya,5.566,,,,,,,Africa
2018,Montenegro,5.347,,,,,,,Europe
2018,Tajikistan,5.199,,,,,,,Asia
2018,Croatia,5.321,,,,,,,Europe
2018,Hong Kong,5.43,,,,,,,Asia
2018,Dominican Republic,5.302,,,,,,,North America
2018,Bosnia and Herzegovina,5.129,,,,,,,Europe
2018,Turkey,5.483,,,,,,,Europe
2018,Malaysia,6.322,,,,,,,Asia
2018,Belarus,5.483,,,,,,,Europe
2018,Greece,5.358,,,,,,,Europe
2018,Mongolia,5.125,,,,,,,Asia
2018,North Macedonia,#N/A,,,,,,,Europe
2018,Nigeria,5.155,,,,,,,Africa
2018,Kyrgyzstan,5.131,,,,,,,Asia
2018,Turkmenistan,5.636,,,,,,,Asia
2018,Algeria,5.295,,,,,,,Africa
2018,Morocco,5.254,,,,,,,Africa
2018,Azerbaijan,5.201,,,,,,,Europe
2018,Lebanon,5.358,,,,,,,Asia
2018,Indonesia,5.093,,,,,,,Asia
2018,China,5.246,,,,,,,Asia
2018,Vietnam,5.103,,,,,,,Asia
2018,Bhutan,5.082,,,,,,,Asia
2018,Cameroon,4.975,,,,,,,Africa
2018,Bulgaria,4.933,,,,,,,Europe
2018,Ghana,4.657,,,,,,,Africa
2018,Ivory Coast,4.671,,,,,,,Africa
2018,Nepal,4.88,,,,,,,Asia
2018,Jordan,5.161,,,,,,,Asia
2018,Benin,4.141,,,,,,,Africa
2018,Congo (Brazzaville),4.559,,,,,,,South America
2018,Gabon,4.758,,,,,,,Africa
2018,Laos,4.623,,,,,,,Asia
2018,South Africa,4.724,,,,,,,Africa
2018,Albania,4.586,,,,,,,Europe
2018,Venezuela,4.806,,,,,,,Europe
2018,Cambodia,4.433,,,,,,,Asia
2018,Palestinian Territories,4.743,,,,,,,Asia
2018,Senegal,4.631,,,,,,,Africa
2018,Somalia,4.982,,,,,,,Africa
2018,Namibia,4.441,,,,,,,Africa
2018,Niger,4.166,,,,,,,Africa
2018,Burkina Faso,4.424,,,,,,,Africa
2018,Armenia,4.321,,,,,,,Asia
2018,Iran,4.707,,,,,,,Asia
2018,Guinea,3.964,,,,,,,Africa
2018,Georgia,4.34,,,,,,,Europe
2018,Gambia,#N/A,,,,,,,Africa
2018,Kenya,4.41,,,,,,,Africa
2018,Mauritania,4.356,,,,,,,Africa
2018,Mozambique,4.417,,,,,,,Africa
2018,Tunisia,4.592,,,,,,,Africa
2018,Bangladesh,4.5,,,,,,,Asia
2018,Iraq,4.456,,,,,,,Asia
2018,Congo (Kinshasa),4.245,,,,,,,Africa
2018,Mali,4.447,,,,,,,Africa
2018,Sierra Leone,4.571,,,,,,,Africa
2018,Sri Lanka,4.471,,,,,,,Asia
2018,Myanmar,4.308,,,,,,,Asia
2018,Chad,4.301,,,,,,,Africa
2018,Ukraine,4.103,,,,,,,Europe
2018,Ethiopia,4.35,,,,,,,Africa
2018,Swaziland,#N/A,,,,,,,Africa
2018,Uganda,4.161,,,,,,,Africa
2018,Egypt,4.419,,,,,,,Africa
2018,Zambia,4.377,,,,,,,Africa
2018,Togo,3.999,,,,,,,Africa
2018,India,4.19,,,,,,,Asia
2018,Liberia,3.495,,,,,,,Africa
2018,Comoros,#N/A,,,,,,,Africa
2018,Madagascar,3.774,,,,,,,Africa
2018,Lesotho,3.808,,,,,,,Africa
2018,Burundi,#N/A,,,,,,,Africa
2018,Zimbabwe,3.692,,,,,,,Asia
2018,Haiti,3.582,,,,,,,North America
2018,Botswana,3.59,,,,,,,Africa
2018,Syria,3.462,,,,,,,Asia
2018,Malawi,3.587,,,,,,,Africa
2018,Yemen,3.355,,,,,,,Asia
2018,Rwanda,3.408,,,,,,,Africa
2018,Tanzania,3.303,,,,,,,Africa
2018,Afghanistan,3.632,,,,,,,Asia
2018,Central African Republic,3.083,,,,,,,Africa
2018,South Sudan,3.254,,,,,,,Africa
2017,Finland,7.469,,,,,,,Europe
2017,Denmark,7.522,,,,,,,Europe
2017,Norway,7.537,,,,,,,Europe
2017,Iceland,7.504,,,,,,,Europe
2017,Netherlands,7.377,,,,,,,Europe
2017,Switzerland,7.494,,,,,,,Europe
2017,Sweden,7.284,,,,,,,Europe
2017,New Zealand,7.314,,,,,,,Oceania
2017,Canada,7.316,,,,,,,North America
2017,Austria,7.006,,,,,,,Europe
2017,Australia,7.284,,,,,,,Oceania
2017,Costa Rica,7.079,,,,,,,North America
2017,Israel,7.213,,,,,,,Asia
2017,Luxembourg,6.863,,,,,,,Europe
2017,United Kingdom,6.714,,,,,,,Europe
2017,Ireland,6.977,,,,,,,Europe
2017,Germany,6.951,,,,,,,Europe
2017,Belgium,6.891,,,,,,,Europe
2017,United States,6.993,,,,,,,North America
2017,Czech Republic,6.609,,,,,,,Europe
2017,United Arab Emirates,6.648,,,,,,,Asia
2017,Malta,6.527,,,,,,,Europe
2017,Mexico,6.578,,,,,,,North America
2017,France,6.442,,,,,,,Europe
2017,Taiwan,#N/A,,,,,,,Asia
2017,Chile,6.652,,,,,,,South America
2017,Guatemala,6.454,,,,,,,North America
2017,Saudi Arabia,6.344,,,,,,,Asia
2017,Qatar,6.375,,,,,,,Asia
2017,Spain,6.403,,,,,,,Europe
2017,Panama,6.452,,,,,,,North America
2017,Brazil,6.635,,,,,,,South America
2017,Uruguay,6.454,,,,,,,South America
2017,Singapore,6.572,,,,,,,Asia
2017,El Salvador,6.003,,,,,,,North America
2017,Italy,5.964,,,,,,,Europe
2017,Bahrain,6.087,,,,,,,Asia
2017,Slovakia,6.098,,,,,,,Europe
2017,Trinidad & Tobago,#N/A,,,,,,,South America
2017,Poland,5.973,,,,,,,Europe
2017,Uzbekistan,5.971,,,,,,,Asia
2017,Lithuania,5.902,,,,,,,Europe
2017,Colombia,6.357,,,,,,,South America
2017,Slovenia,5.758,,,,,,,Europe
2017,Nicaragua,6.071,,,,,,,North America
2017,Kosovo,5.279,,,,,,,Europe
2017,Argentina,6.599,,,,,,,South America
2017,Romania,5.825,,,,,,,Europe
2017,Cyprus,5.621,,,,,,,Europe
2017,Ecuador,6.008,,,,,,,South America
2017,Kuwait,6.105,,,,,,,Asia
2017,Thailand,6.424,,,,,,,Asia
2017,Latvia,5.85,,,,,,,Europe
2017,South Korea,5.838,,,,,,,Asia
2017,Estonia,5.611,,,,,,,Europe
2017,Jamaica,5.311,,,,,,,North America
2017,Mauritius,5.629,,,,,,,Africa
2017,Japan,5.92,,,,,,,Asia
2017,Honduras,5.181,,,,,,,North America
2017,Kazakhstan,5.819,,,,,,,Europe
2017,Bolivia,5.823,,,,,,,South America
2017,Hungary,5.324,,,,,,,Europe
2017,Paraguay,5.493,,,,,,,South America
2017,Northern Cyprus,#N/A,,,,,,,Asia
2017,Peru,5.715,,,,,,,South America
2017,Portugal,5.195,,,,,,,Europe
2017,Pakistan,5.269,,,,,,,Asia
2017,Russia,5.963,,,,,,,Asia
2017,Philippines,5.43,,,,,,,Asia
2017,Serbia,5.395,,,,,,,Europe
2017,Moldova,5.838,,,,,,,Europe
2017,Libya,5.525,,,,,,,Africa
2017,Montenegro,5.237,,,,,,,Europe
2017,Tajikistan,5.041,,,,,,,Asia
2017,Croatia,5.293,,,,,,,Europe
2017,Hong Kong,#N/A,,,,,,,Asia
2017,Dominican Republic,5.23,,,,,,,North America
2017,Bosnia and Herzegovina,5.182,,,,,,,Europe
2017,Turkey,5.5,,,,,,,Europe
2017,Malaysia,6.084,,,,,,,Asia
2017,Belarus,5.569,,,,,,,Europe
2017,Greece,5.227,,,,,,,Europe
2017,Mongolia,4.955,,,,,,,Asia
2017,North Macedonia,#N/A,,,,,,,Europe
2017,Nigeria,5.074,,,,,,,Africa
2017,Kyrgyzstan,5.004,,,,,,,Asia
2017,Turkmenistan,5.822,,,,,,,Asia
2017,Algeria,5.872,,,,,,,Africa
2017,Morocco,5.235,,,,,,,Africa
2017,Azerbaijan,5.234,,,,,,,Europe
2017,Lebanon,5.225,,,,,,,Asia
2017,Indonesia,5.262,,,,,,,Asia
2017,China,5.273,,,,,,,Asia
2017,Vietnam,5.074,,,,,,,Asia
2017,Bhutan,5.011,,,,,,,Asia
2017,Cameroon,4.695,,,,,,,Africa
2017,Bulgaria,4.714,,,,,,,Europe
2017,Ghana,4.12,,,,,,,Africa
2017,Ivory Coast,4.18,,,,,,,Africa
2017,Nepal,4.962,,,,,,,Asia
2017,Jordan,5.336,,,,,,,Asia
2017,Benin,3.657,,,,,,,Africa
2017,Congo (Brazzaville),4.291,,,,,,,South America
2017,Gabon,4.465,,,,,,,Africa
2017,Laos,#N/A,,,,,,,Asia
2017,South Africa,4.829,,,,,,,Africa
2017,Albania,4.644,,,,,,,Europe
2017,Venezuela,5.25,,,,,,,Europe
2017,Cambodia,4.168,,,,,,,Asia
2017,Palestinian Territories,4.775,,,,,,,Asia
2017,Senegal,4.535,,,,,,,Africa
2017,Somalia,5.151,,,,,,,Africa
2017,Namibia,4.574,,,,,,,Africa
2017,Niger,4.028,,,,,,,Africa
2017,Burkina Faso,4.032,,,,,,,Africa
2017,Armenia,4.376,,,,,,,Asia
2017,Iran,4.692,,,,,,,Asia
2017,Guinea,3.507,,,,,,,Africa
2017,Georgia,4.286,,,,,,,Europe
2017,Gambia,#N/A,,,,,,,Africa
2017,Kenya,4.553,,,,,,,Africa
2017,Mauritania,4.292,,,,,,,Africa
2017,Mozambique,4.55,,,,,,,Africa
2017,Tunisia,4.805,,,,,,,Africa
2017,Bangladesh,4.608,,,,,,,Asia
2017,Iraq,4.497,,,,,,,Asia
2017,Congo (Kinshasa),4.28,,,,,,,Africa
2017,Mali,4.19,,,,,,,Africa
2017,Sierra Leone,4.709,,,,,,,Africa
2017,Sri Lanka,4.44,,,,,,,Asia
2017,Myanmar,4.545,,,,,,,Asia
2017,Chad,3.936,,,,,,,Africa
2017,Ukraine,4.096,,,,,,,Europe
2017,Ethiopia,4.46,,,,,,,Africa
2017,Swaziland,#N/A,,,,,,,Africa
2017,Uganda,4.081,,,,,,,Africa
2017,Egypt,4.735,,,,,,,Africa
2017,Zambia,4.514,,,,,,,Africa
2017,Togo,3.495,,,,,,,Africa
2017,India,4.315,,,,,,,Asia
2017,Liberia,3.533,,,,,,,Africa
2017,Comoros,#N/A,,,,,,,Africa
2017,Madagascar,3.644,,,,,,,Africa
2017,Lesotho,3.808,,,,,,,Africa
2017,Burundi,2.905,,,,,,,Africa
2017,Zimbabwe,3.875,,,,,,,Asia
2017,Haiti,3.603,,,,,,,North America
2017,Botswana,3.766,,,,,,,Africa
2017,Syria,3.462,,,,,,,Asia
2017,Malawi,3.97,,,,,,,Africa
2017,Yemen,3.593,,,,,,,Asia
2017,Rwanda,3.471,,,,,,,Africa
2017,Tanzania,3.349,,,,,,,Africa
2017,Afghanistan,3.794,,,,,,,Asia
2017,Central African Republic,2.693,,,,,,,Africa
2017,South Sudan,3.591,,,,,,,Africa
2016,Finland,7.413,,,,,,,Europe
2016,Denmark,7.526,,,,,,,Europe
2016,Norway,7.498,,,,,,,Europe
2016,Iceland,7.501,,,,,,,Europe
2016,Netherlands,7.339,,,,,,,Europe
2016,Switzerland,7.509,,,,,,,Europe
2016,Sweden,7.291,,,,,,,Europe
2016,New Zealand,7.334,,,,,,,Oceania
2016,Canada,7.404,,,,,,,North America
2016,Austria,7.119,,,,,,,Europe
2016,Australia,7.313,,,,,,,Oceania
2016,Costa Rica,7.087,,,,,,,North America
2016,Israel,7.267,,,,,,,Asia
2016,Luxembourg,6.871,,,,,,,Europe
2016,United Kingdom,6.725,,,,,,,Europe
2016,Ireland,6.907,,,,,,,Europe
2016,Germany,6.994,,,,,,,Europe
2016,Belgium,6.929,,,,,,,Europe
2016,United States,7.104,,,,,,,North America
2016,Czech Republic,6.596,,,,,,,Europe
2016,United Arab Emirates,6.573,,,,,,,Asia
2016,Malta,6.488,,,,,,,Europe
2016,Mexico,6.778,,,,,,,North America
