Year,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
2017,2017,Georgia,4.286,0.951,,,,,Europe
2017,2017,Gambia,#N/A,#N/A,,,,,Africa
2017,2017,Kenya,4.553,0.56,,,,,Africa
2017,2017,Mauritania,4.292,0.648,,,,,Africa
2017,2017,Mozambique,4.55,0.234,,,,,Africa
2017,2017,Tunisia,4.805,1.007,,,,,Africa
2017,2017,Bangladesh,4.608,0.587,,,,,Asia
2017,2017,Iraq,4.497,1.103,,,,,Asia
2017,2017,Congo (Kinshasa),4.28,0.092,,,,,Africa
2017,2017,Mali,4.19,0.476,,,,,Africa
2017,2017,Sierra Leone,4.709,0.368,,,,,Africa
2017,2017,Sri Lanka,4.44,1.01,,,,,Asia
2017,2017,Myanmar,4.545,0.367,,,,,Asia
2017,2017,Chad,3.936,0.438,,,,,Africa
2017,2017,Ukraine,4.096,0.895,,,,,Europe
2017,2017,Ethiopia,4.46,0.339,,,,,Africa
2017,2017,Swaziland,#N/A,#N/A,,,,,Africa
2017,2017,Uganda,4.081,0.381,,,,,Africa
2017,2017,Egypt,4.735,0.99,,,,,Africa
2017,2017,Zambia,4.514,0.636,,,,,Africa
2017,2017,Togo,3.495,0.305,,,,,Africa
2017,2017,India,4.315,0.792,,,,,Asia
2017,2017,Liberia,3.533,0.119,,,,,Africa
2017,2017,Comoros,#N/A,#N/A,,,,,Africa
2017,2017,Madagascar,3.644,0.306,,,,,Africa
2017,2017,Lesotho,3.808,0.521,,,,,Africa
2017,2017,Burundi,2.905,0.092,,,,,Africa
2017,2017,Zimbabwe,3.875,0.376,,,,,Asia
2017,2017,Haiti,3.603,0.369,,,,,North America
2017,2017,Botswana,3.766,1.122,,,,,Africa
2017,2017,Syria,3.462,0.777,,,,,Asia
2017,2017,Malawi,3.97,0.233,,,,,Africa
2017,2017,Yemen,3.593,0.592,,,,,Asia
2017,2017,Rwanda,3.471,0.369,,,,,Africa
2017,2017,Tanzania,3.349,0.511,,,,,Africa
2017,2017,Afghanistan,3.794,0.401,,,,,Asia
2017,2017,Central African Republic,2.693,0,,,,,Africa
2017,2017,South Sudan,3.591,0.397,,,,,Africa
2016,2016,Finland,7.413,0.394,,,,,Europe
2016,2016,Denmark,7.526,1.406,,,,,Europe
2016,2016,Norway,7.498,1.442,,,,,Europe
2016,2016,Iceland,7.501,1.577,,,,,Europe
2016,2016,Netherlands,7.339,1.427,,,,,Europe
2016,2016,Switzerland,7.509,1.465,,,,,Europe
2016,2016,Sweden,7.291,1.527,,,,,Europe
2016,2016,New Zealand,7.334,1.452,,,,,Oceania
2016,2016,Canada,7.404,1.361,,,,,North America
2016,2016,Austria,7.119,1.44,,,,,Europe
2016,2016,Australia,7.313,1.45,,,,,Oceania
2016,2016,Costa Rica,7.087,1.444,,,,,North America
2016,2016,Israel,7.267,1.069,,,,,Asia
2016,2016,Luxembourg,6.871,1.338,,,,,Europe
2016,2016,United Kingdom,6.725,1.698,,,,,Europe
2016,2016,Ireland,6.907,1.403,,,,,Europe
2016,2016,Germany,6.994,1.483,,,,,Europe
2016,2016,Belgium,6.929,1.448,,,,,Europe
2016,2016,United States,7.104,1.425,,,,,North America
2016,2016,Czech Republic,6.596,1.508,,,,,Europe
2016,2016,United Arab Emirates,6.573,1.309,,,,,Asia
2016,2016,Malta,6.488,1.574,,,,,Europe
2016,2016,Mexico,6.778,1.308,,,,,North America
2016,2016,France,6.478,1.115,,,,,Europe
2016,2016,Taiwan,6.379,1.395,,,,,Asia
2016,2016,Chile,6.705,1.397,,,,,South America
2016,2016,Guatemala,6.324,1.217,,,,,North America
2016,2016,Saudi Arabia,6.379,0.835,,,,,Asia
2016,2016,Qatar,6.375,1.49,,,,,Asia
2016,2016,Spain,6.361,1.824,,,,,Europe
2016,2016,Panama,6.701,1.343,,,,,North America
2016,2016,Brazil,6.952,1.183,,,,,South America
2016,2016,Uruguay,6.545,1.088,,,,,South America
2016,2016,Singapore,6.739,1.182,,,,,Asia
2016,2016,El Salvador,6.068,1.646,,,,,North America
2016,2016,Italy,5.977,0.874,,,,,Europe
2016,2016,Bahrain,6.218,1.355,,,,,Asia
2016,2016,Slovakia,6.078,1.44,,,,,Europe
2016,2016,Trinidad & Tobago,#N/A,1.28,,,,,South America
2016,2016,Poland,5.835,#N/A,,,,,Europe
2016,2016,Uzbekistan,5.987,1.246,,,,,Asia
2016,2016,Lithuania,5.813,0.736,,,,,Europe
2016,2016,Colombia,6.481,1.269,,,,,South America
2016,2016,Slovenia,5.768,1.03,,,,,Europe
2016,2016,Nicaragua,5.992,1.299,,,,,North America
2016,2016,Kosovo,5.401,0.694,,,,,Europe
2016,2016,Argentina,6.65,0.901,,,,,South America
2016,2016,Romania,5.528,1.151,,,,,Europe
2016,2016,Cyprus,5.546,1.17,,,,,Europe
2016,2016,Ecuador,5.976,1.319,,,,,South America
2016,2016,Kuwait,6.239,0.973,,,,,Asia
2016,2016,Thailand,6.474,1.617,,,,,Asia
2016,2016,Latvia,5.56,1.089,,,,,Europe
2016,2016,South Korea,5.835,1.218,,,,,Asia
2016,2016,Estonia,5.517,1.359,,,,,Europe
2016,2016,Jamaica,5.51,1.28,,,,,North America
2016,2016,Mauritius,5.648,0.893,,,,,Africa
2016,2016,Japan,5.921,1.144,,,,,Asia
2016,2016,Honduras,4.871,1.38,,,,,North America
2016,2016,Kazakhstan,5.919,0.694,,,,,Europe
2016,2016,Bolivia,5.822,1.229,,,,,South America
2016,2016,Hungary,5.145,0.794,,,,,Europe
2016,2016,Paraguay,5.538,1.241,,,,,South America
2016,2016,Northern Cyprus,#N/A,0.894,,,,,Asia
2016,2016,Peru,5.743,#N/A,,,,,South America
2016,2016,Portugal,5.123,0.996,,,,,Europe
2016,2016,Pakistan,5.132,1.276,,,,,Asia
2016,2016,Russia,5.856,0.688,,,,,Asia
2016,2016,Philippines,5.279,1.232,,,,,Asia
2016,2016,Serbia,5.177,0.812,,,,,Europe
2016,2016,Moldova,5.897,1.034,,,,,Europe
2016,2016,Libya,5.615,0.692,,,,,Africa
2016,2016,Montenegro,5.161,1.067,,,,,Europe
2016,2016,Tajikistan,4.996,1.078,,,,,Asia
2016,2016,Croatia,5.488,0.488,,,,,Europe
2016,2016,Hong Kong,5.458,1.186,,,,,Asia
2016,2016,Dominican Republic,5.155,1.511,,,,,North America
2016,2016,Bosnia and Herzegovina,5.163,1.028,,,,,Europe
2016,2016,Turkey,5.389,0.934,,,,,Europe
2016,2016,Malaysia,6.005,1.165,,,,,Asia
2016,2016,Belarus,5.802,1.251,,,,,Europe
2016,2016,Greece,5.033,1.131,,,,,Europe
2016,2016,Mongolia,4.907,1.249,,,,,Asia
2016,2016,North Macedonia,#N/A,0.989,,,,,Europe
2016,2016,Nigeria,4.875,#N/A,,,,,Africa
2016,2016,Kyrgyzstan,5.185,0.752,,,,,Asia
2016,2016,Turkmenistan,5.658,0.56,,,,,Asia
2016,2016,Algeria,6.355,1.08,,,,,Africa
2016,2016,Morocco,5.151,1.053,,,,,Africa
2016,2016,Azerbaijan,5.291,0.841,,,,,Europe
2016,2016,Lebanon,5.129,1.124,,,,,Asia
2016,2016,Indonesia,5.314,1.123,,,,,Asia
2016,2016,China,5.245,0.951,,,,,Asia
2016,2016,Vietnam,5.061,1.028,,,,,Asia
2016,2016,Bhutan,5.196,0.74,,,,,Asia
2016,2016,Cameroon,4.513,0.853,,,,,Africa
2016,2016,Bulgaria,4.217,0.525,,,,,Europe
2016,2016,Ghana,4.276,1.113,,,,,Africa
2016,2016,Ivory Coast,3.916,0.631,,,,,Africa
2016,2016,Nepal,4.793,0.555,,,,,Asia
2016,2016,Jordan,5.303,0.446,,,,,Asia
2016,2016,Benin,3.484,0.997,,,,,Africa
2016,2016,Congo (Brazzaville),4.236,0.395,,,,,South America
2016,2016,Gabon,4.121,0.771,,,,,Africa
2016,2016,Laos,4.876,1.159,,,,,Asia
2016,2016,South Africa,4.459,0.68,,,,,Africa
2016,2016,Albania,4.655,1.024,,,,,Europe
2016,2016,Venezuela,6.084,0.955,,,,,Europe
2016,2016,Cambodia,3.907,1.134,,,,,Asia
2016,2016,Palestinian Territories,4.754,0.556,,,,,Asia
2016,2016,Senegal,4.219,0.67,,,,,Africa
2016,2016,Somalia,5.44,0.443,,,,,Africa
2016,2016,Namibia,4.574,0,,,,,Africa
2016,2016,Niger,3.856,0.933,,,,,Africa
2016,2016,Burkina Faso,3.739,0.133,,,,,Africa
2016,2016,Armenia,4.36,0.32,,,,,Asia
2016,2016,Iran,4.813,0.861,,,,,Asia
2016,2016,Guinea,3.607,1.118,,,,,Africa
2016,2016,Georgia,4.252,0.224,,,,,Europe
2016,2016,Gambia,#N/A,0.838,,,,,Africa
2016,2016,Kenya,4.356,#N/A,,,,,Africa
2016,2016,Mauritania,4.201,0.523,,,,,Africa
2016,2016,Mozambique,#N/A,0.614,,,,,Africa
2016,2016,Tunisia,5.045,#N/A,,,,,Africa
2016,2016,Bangladesh,4.643,0.977,,,,,Asia
2016,2016,Iraq,4.575,0.542,,,,,Asia
2016,2016,Congo (Kinshasa),4.272,1.075,,,,,Africa
2016,2016,Mali,4.073,0.057,,,,,Africa
2016,2016,Sierra Leone,4.635,0.313,,,,,Africa
2016,2016,Sri Lanka,4.415,0.365,,,,,Asia
2016,2016,Myanmar,4.395,0.973,,,,,Asia
2016,2016,Chad,3.763,0.341,,,,,Africa
2016,2016,Ukraine,4.324,0.422,,,,,Europe
2016,2016,Ethiopia,4.508,0.873,,,,,Africa
2016,2016,Swaziland,#N/A,0.293,,,,,Africa
2016,2016,Uganda,3.739,#N/A,,,,,Africa
2016,2016,Egypt,4.362,0.347,,,,,Africa
2016,2016,Zambia,4.795,0.954,,,,,Africa
2016,2016,Togo,3.303,0.612,,,,,Africa
2016,2016,India,4.404,0.281,,,,,Asia
2016,2016,Liberia,3.622,0.74,,,,,Africa
2016,2016,Comoros,3.956,0.107,,,,,Africa
2016,2016,Madagascar,3.695,0.275,,,,,Africa
2016,2016,Lesotho,#N/A,0.28,,,,,Africa
2016,2016,Burundi,2.905,#N/A,,,,,Africa
2016,2016,Zimbabwe,4.193,0.068,,,,,Asia
2016,2016,Haiti,4.028,0.35,,,,,North America
2016,2016,Botswana,3.974,0.341,,,,,Africa
2016,2016,Syria,3.069,1.094,,,,,Asia
2016,2016,Malawi,4.156,0.747,,,,,Africa
2016,2016,Yemen,3.724,0.087,,,,,Asia
2016,2016,Rwanda,3.515,0.579,,,,,Africa
2016,2016,Tanzania,3.666,0.328,,,,,Africa
2016,2016,Afghanistan,3.36,0.472,,,,,Asia
2016,2016,Central African Republic,#N/A,0.382,,,,,Africa
2016,2016,South Sudan,3.832,#N/A,,,,,Africa
2015,2015,Finland,7.406,0.32,,,,,Europe
2015,2015,Denmark,7.527,0.079,,,,,Europe
2015,2015,Norway,7.522,#N/A,,,,,Europe
2015,2015,Iceland,7.561,1.29,,,,,Europe
2015,2015,Netherlands,7.378,1.325,,,,,Europe
2015,2015,Switzerland,7.587,1.459,,,,,Europe
2015,2015,Sweden,7.364,1.302,,,,,Europe
2015,2015,New Zealand,7.286,1.329,,,,,Oceania
2015,2015,Canada,7.427,1.397,,,,,North America
2015,2015,Austria,7.2,1.332,,,,,Europe
2015,2015,Australia,7.284,1.25,,,,,Oceania
2015,2015,Costa Rica,7.226,1.326,,,,,North America
2015,2015,Israel,7.278,1.337,,,,,Asia
2015,2015,Luxembourg,6.946,1.334,,,,,Europe
2015,2015,United Kingdom,6.867,0.956,,,,,Europe
2015,2015,Ireland,6.94,1.229,,,,,Europe
2015,2015,Germany,6.75,1.564,,,,,Europe
2015,2015,Belgium,6.937,1.266,,,,,Europe
2015,2015,United States,7.119,1.336,,,,,North America
2015,2015,Czech Republic,6.505,1.328,,,,,Europe
2015,2015,United Arab Emirates,6.901,1.308,,,,,Asia
2015,2015,Malta,6.302,1.395,,,,,Europe
2015,2015,Mexico,7.187,1.179,,,,,North America
2015,2015,France,6.575,1.427,,,,,Europe
2015,2015,Taiwan,6.298,1.207,,,,,Asia
2015,2015,Chile,6.67,1.021,,,,,South America
2015,2015,Guatemala,6.123,1.278,,,,,North America
2015,2015,Saudi Arabia,6.411,1.291,,,,,Asia
2015,2015,Qatar,6.611,1.107,,,,,Asia
2015,2015,Spain,6.329,0.746,,,,,Europe
2015,2015,Panama,6.786,1.395,,,,,North America
2015,2015,Brazil,6.983,1.69,,,,,South America
2015,2015,Uruguay,6.485,1.23,,,,,South America
2015,2015,Singapore,6.798,1.064,,,,,Asia
2015,2015,El Salvador,6.13,0.981,,,,,North America
2015,2015,Italy,5.948,1.062,,,,,Europe
2015,2015,Bahrain,5.96,1.522,,,,,Asia
2015,2015,Slovakia,5.995,0.765,,,,,Europe
2015,2015,Trinidad & Tobago,#N/A,1.251,,,,,South America
2015,2015,Poland,5.791,1.324,,,,,Europe
2015,2015,Uzbekistan,6.003,1.169,,,,,Asia
2015,2015,Lithuania,5.833,#N/A,,,,,Europe
2015,2015,Colombia,6.477,1.126,,,,,South America
2015,2015,Slovenia,5.848,0.632,,,,,Europe
2015,2015,Nicaragua,5.828,1.147,,,,,North America
2015,2015,Kosovo,5.589,0.919,,,,,Europe
2015,2015,Argentina,6.574,1.185,,,,,South America
2015,2015,Romania,5.124,0.593,,,,,Europe
2015,2015,Cyprus,5.689,0.801,,,,,Europe
2015,2015,Ecuador,5.975,1.054,,,,,South America
2015,2015,Kuwait,6.295,1.043,,,,,Asia
2015,2015,Thailand,6.455,1.208,,,,,Asia
2015,2015,Latvia,5.098,0.864,,,,,Europe
2015,2015,South Korea,5.984,1.554,,,,,Asia
2015,2015,Estonia,5.429,0.967,,,,,Europe
2015,2015,Jamaica,5.709,1.113,,,,,North America
2015,2015,Mauritius,5.477,1.245,,,,,Africa
2015,2015,Japan,5.987,1.152,,,,,Asia
2015,2015,Honduras,4.788,0.81,,,,,North America
2015,2015,Kazakhstan,5.855,1.008,,,,,Europe
2015,2015,Bolivia,5.89,1.271,,,,,South America
2015,2015,Hungary,4.8,0.595,,,,,Europe
2015,2015,Paraguay,5.878,1.123,,,,,South America
2015,2015,Northern Cyprus,#N/A,0.681,,,,,Asia
2015,2015,Peru,5.824,1.121,,,,,South America
2015,2015,Portugal,5.102,0.76,,,,,Europe
2015,2015,Pakistan,5.194,#N/A,,,,,Asia
2015,2015,Russia,5.716,0.9,,,,,Asia
2015,2015,Philippines,5.073,1.16,,,,,Asia
2015,2015,Serbia,5.123,0.595,,,,,Europe
2015,2015,Moldova,5.889,1.138,,,,,Europe
2015,2015,Libya,5.754,0.705,,,,,Africa
2015,2015,Montenegro,5.192,0.921,,,,,Europe
2015,2015,Tajikistan,4.786,0.594,,,,,Asia
2015,2015,Croatia,5.759,1.131,,,,,Europe
2015,2015,Hong Kong,5.474,0.974,,,,,Asia
2015,2015,Dominican Republic,4.885,0.39,,,,,North America
2015,2015,Bosnia and Herzegovina,4.949,1.083,,,,,Europe
2015,2015,Turkey,5.332,1.386,,,,,Europe
2015,2015,Malaysia,5.77,0.895,,,,,Asia
2015,2015,Belarus,5.813,0.832,,,,,Europe
2015,2015,Greece,4.857,1.061,,,,,Europe
2015,2015,Mongolia,4.874,1.125,,,,,Asia
2015,2015,North Macedonia,#N/A,1.032,,,,,Europe
2015,2015,Nigeria,5.268,1.154,,,,,Africa
2015,2015,Kyrgyzstan,5.286,0.828,,,,,Asia
2015,2015,Turkmenistan,5.548,#N/A,,,,,Asia
2015,2015,Algeria,5.605,0.654,,,,,Africa
2015,2015,Morocco,5.013,0.474,,,,,Africa
2015,2015,Azerbaijan,5.212,0.958,,,,,Europe
2015,2015,Lebanon,4.839,0.939,,,,,Asia
2015,2015,Indonesia,5.399,0.735,,,,,Asia
2015,2015,China,5.14,1.024,,,,,Asia
2015,2015,Vietnam,5.36,1.026,,,,,Asia
2015,2015,Bhutan,5.253,0.828,,,,,Asia
2015,2015,Cameroon,4.252,0.89,,,,,Africa
2015,2015,Bulgaria,4.218,0.632,,,,,Europe
2015,2015,Ghana,4.633,0.77,,,,,Africa
2015,2015,Ivory Coast,3.655,0.423,,,,,Africa
2015,2015,Nepal,4.514,1.012,,,,,Asia
2015,2015,Jordan,5.192,0.546,,,,,Asia
2015,2015,Benin,3.34,0.465,,,,,Africa
2015,2015,Congo (Brazzaville),3.989,0.36,,,,,South America
2015,2015,Gabon,3.896,0.902,,,,,Africa
2015,2015,Laos,4.876,0.287,,,,,Asia
2015,2015,South Africa,4.642,0.679,,,,,Africa
2015,2015,Albania,4.959,1.06,,,,,Europe
2015,2015,Venezuela,6.81,0.591,,,,,Europe
2015,2015,Cambodia,3.819,0.92,,,,,Asia
2015,2015,Palestinian Territories,4.715,0.879,,,,,Asia
2015,2015,Senegal,3.904,1.044,,,,,Africa
2015,2015,Somalia,#N/A,0.46,,,,,Africa
2015,2015,Namibia,#N/A,0.599,,,,,Africa
2015,2015,Niger,3.845,0.365,,,,,Africa
2015,2015,Burkina Faso,3.587,#N/A,,,,,Africa
2015,2015,Armenia,4.35,#N/A,,,,,Asia
2015,2015,Iran,4.686,0.069,,,,,Asia
2015,2015,Guinea,3.656,0.258,,,,,Africa
2015,2015,Georgia,4.297,0.768,,,,,Europe
2015,2015,Gambia,#N/A,1.009,,,,,Africa
2015,2015,Kenya,4.419,0.174,,,,,Africa
2015,2015,Mauritania,4.436,0.742,,,,,Africa
2015,2015,Mozambique,4.971,#N/A,,,,,Africa
2015,2015,Tunisia,4.739,0.365,,,,,Africa
2015,2015,Bangladesh,4.694,0.454,,,,,Asia
2015,2015,Iraq,4.677,0.083,,,,,Asia
2015,2015,Congo (Kinshasa),4.517,0.881,,,,,Africa
2015,2015,Mali,3.995,0.398,,,,,Africa
2015,2015,Sierra Leone,4.507,0.985,,,,,Africa
2015,2015,Sri Lanka,4.271,0,,,,,Asia
2015,2015,Myanmar,4.307,0.261,,,,,Asia
2015,2015,Chad,3.667,0.33,,,,,Africa
2015,2015,Ukraine,4.681,0.835,,,,,Europe
2015,2015,Ethiopia,4.512,0.271,,,,,Africa
2015,2015,Swaziland,4.867,0.342,,,,,Africa
2015,2015,Uganda,3.931,0.799,,,,,Africa
2015,2015,Egypt,4.194,0.191,,,,,Africa
2015,2015,Zambia,5.129,0.712,,,,,Africa
2015,2015,Togo,2.839,0.211,,,,,Africa
2015,2015,India,4.565,0.882,,,,,Asia
2015,2015,Liberia,4.571,0.47,,,,,Africa
2015,2015,Comoros,3.956,#N/A,,,,,Africa
2015,2015,Madagascar,3.681,0.645,,,,,Africa
2015,2015,Lesotho,4.898,0.071,,,,,Africa
2015,2015,Burundi,2.905,0.239,,,,,Africa
2015,2015,Zimbabwe,4.61,0.208,,,,,Asia
2015,2015,Haiti,4.518,0.375,,,,,North America
2015,2015,Botswana,4.332,0.015,,,,,Africa
2015,2015,Syria,3.006,0.271,,,,,Asia
2015,2015,Malawi,4.292,0.267,,,,,Africa
2015,2015,Yemen,4.077,0.994,,,,,Asia
2015,2015,Rwanda,3.465,0.663,,,,,Africa
2015,2015,Tanzania,3.781,0.016,,,,,Africa
2015,2015,Afghanistan,3.575,0.546,,,,,Asia
2015,2015,Central African Republic,3.678,0.222,,,,,Africa
2015,2015,South Sudan,#N/A,0.285,,,,,Africa
